subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,firms
Firms represented in the training period,Extra trees,54427,167,0.003068330056773293,0.5,0.6218296911521594,0.006893425859642558,0.050842881633595766,0.20945258349272894,0.16849297783719136,0.17156130789396465,0.017884743911311913,0.9745530710860418,0.5484722041357756,0.01589825119236884,0.11976047904191617,0.028070175438596492,0.025722527422051555,0.041916167664670656,8.383233532934131,7.0,0.022047880647472762,0.0718562874251497,7.18562874251497,12.0,0.01653591048560457,0.10778443113772455,5.389221556886227,18.0,0.009554081613904862,0.15568862275449102,3.1137724550898196,26.0,0.007349293549157586,0.23952095808383234,2.395209580838323,40.0,5049
Firms represented in the training period,Gradient boosting,54427,167,0.003068330056773293,0.5,0.5798513367662022,0.003962415903635476,0.16558573568385185,0.501877545371931,0.3557672222807254,0.3588355523374986,0.008550797257367104,0.7537435464016021,0.5302563505499138,0.0038236617183985606,0.30538922155688625,0.007552758237689744,0.0036746467745787936,0.005988023952095809,1.1976047904191616,1.0,0.007349293549157587,0.023952095808383235,2.395209580838323,4.0,0.0036746467745787936,0.023952095808383235,1.1976047904191616,4.0,0.003674646774578793,0.059880239520958084,1.1976047904191616,10.0,0.0044095761294945515,0.1437125748502994,1.4371257485029936,24.0,5049
Firms represented in the training period,HistGradientBoosting,54427,167,0.003068330056773293,0.5,0.6289230606240523,0.004454155676457529,0.03221508763394075,0.13653198652119908,0.10202410662786429,0.1050924366846376,0.02919648790693442,0.9674793760449777,0.5001525147272723,0.0030998140111593306,0.029940119760479042,0.0056179775280898875,0.0036746467745787936,0.005988023952095809,1.1976047904191616,1.0,0.0036746467745787936,0.011976047904191617,1.1976047904191616,2.0,0.004593308468223492,0.029940119760479042,1.497005988023952,5.0,0.003307182097120914,0.05389221556886228,1.0778443113772453,9.0,0.004354456427876003,0.14191616766467502,1.4191616766467499,23.700000000000728,5049
Firms represented in the training period,DeepCut-inspired neural threshold,54427,167,0.003068330056773293,0.5,0.7471177806568948,0.00871796835583755,0.22638929737273106,0.6248347587240707,0.36439532539971203,0.36746365545648535,0.00835002322328076,0.6370367648409797,0.7194615192762281,0.006748589846897663,0.8023952095808383,0.013384607701143685,0.022047880647472762,0.03592814371257485,7.18562874251497,6.0,0.012861263711025778,0.041916167664670656,4.191616766467066,7.0,0.006430631855512889,0.041916167664670656,2.095808383233533,7.0,0.007349293549157586,0.11976047904191617,2.395209580838323,20.0,0.008635419920260163,0.281437125748503,2.8143712574850293,47.0,5049
Firms absent from the training period,Logistic regression,21496,0,0.0,0.5,,,0.14226511792205282,0.42049248544304885,0.2797018697160676,0.27970186971606753,0.0,0.7476274655749907,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2616
Firms absent from the training period,Random forest,21496,0,0.0,0.5,,,0.0001907731892664497,0.007501578726334665,0.007402332902322365,0.0074023329023223654,0.0,1.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2616
Firms absent from the training period,Extra trees,21496,0,0.0,0.5,,,0.03580044246955573,0.1603935227712842,0.1366261780870928,0.13662617808709276,0.0,0.9859043542984741,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2616
Firms absent from the training period,Gradient boosting,21496,0,0.0,0.5,,,0.09831339355586972,0.3402874311981607,0.2633653014479419,0.2633653014479419,0.0,0.8855601042054335,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2616
Firms absent from the training period,HistGradientBoosting,21496,0,0.0,0.5,,,0.01418501892208234,0.07876108182857919,0.06834371404223637,0.06834371404223637,0.0,0.987625604763677,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2616
Firms absent from the training period,DeepCut-inspired neural threshold,21496,0,0.0,0.5,,,0.15691730893515296,0.44886203377817807,0.28997688405099326,0.2899768840509932,0.0,0.7388816524004466,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2616
