feature,mean_low_cut_standardized,mean_high_cut_standardized,mean_low_cut_original,mean_high_cut_original,mean_low_exceedance_weight,mean_high_exceedance_weight,seed
current_ratio,1.0038481950759888,2.2060134410858154,11.85578633142525,22.36817639477801,0.5872693061828613,0.10151232033967972,20260535
gross_margin_change,-0.946112334728241,-0.3711450695991516,-22.10651596660117,-8.484760983524007,0.08237017691135406,0.008632256649434566,20260535
rev_growth_yoy,-2.2422080039978027,-1.7165497541427612,-99.9598141591064,-75.62402122140578,0.6418061852455139,0.010159977711737156,20260535
assets_growth_yoy,-0.5360952019691467,0.2929573059082031,-32.291957930968536,29.17588101525196,0.182014599442482,0.034770604223012924,20260535
ar_growth_yoy,-0.6076613068580627,0.011136442422866821,-2.73035534365832,0.5307720133965692,0.1498735547065735,0.004445425700396299,20260535
inventory_growth_yoy,-0.9461705088615417,-0.21813072264194489,-1.2558339317398444,-0.1877859365338698,0.2301408052444458,0.007847845554351807,20260535
cash_to_assets,-0.5784511566162109,0.09268709272146225,-0.3816822997573424,0.45304965835788635,0.12371509522199631,0.3558131456375122,20260535
receivables_to_revenue,-1.595323085784912,-1.15897536277771,-36.67544187057014,-25.940054472961837,0.023036735132336617,0.008662099950015545,20260535
inventory_to_revenue,-1.2569406032562256,-0.8615545034408569,-28.60166457828796,-18.8125420760964,0.021920328959822655,0.019567476585507393,20260535
loss_indicator,-1.0068597793579102,0.47409114241600037,-0.035630217097985584,0.7031992920424073,0.36675530672073364,0.3503398299217224,20260535
